"WHEAT-SRW - CHICAGO BOARD OF TRADE",260203,2026-02-03,001602,CBT ,00,001 ,  543432,   80722,   79906,   75619,    9371,   42209,   88319,  169862,  156510,   33000,   16953,   35225,  511604,  510036,   31828,   33396,  386876,   57571,   37992,   30019,   21640,   25080,  104108,  149709,   93153,   36359,   19167,   17173,  363463,  363914,   23413,   22962,  156556,   23151,   41914,   58775,     906,    3954,   32058,   68000,   15510,    7802,    8947,    6891,  148141,  146122,    8415,   10434,    7404,   -5208,    1961,   -1214,    1916,    9251,     945,  -11559,    -134,     553,    -837,    3827,    8020,    4425,    -616,    2979,  100.0,   14.9,   14.7,   13.9,    1.7,    7.8,   16.3,   31.3,   28.8,    6.1,    3.1,    6.5,   94.1,   93.9,    5.9,    6.1,  100.0,   14.9,    9.8,    7.8,    5.6,    6.5,   26.9,   38.7,   24.1,    9.4,    5.0,    4.4,   93.9,   94.1,    6.1,    5.9,  100.0,   14.8,   26.8,   37.5,    0.6,    2.5,   20.5,   43.4,    9.9,    5.0,    5.7,    4.4,   94.6,   93.3,    5.4,    6.7,    362,     66,     73,     21,      5,     17,     49,     85,     73,     58,     34,     57,    273,    281,    344,     57,     59,     16,     11,     11,     56,     74,     55,     58,     33,     36,    236,    237,    229,     44,     59,     17,      4,      8,     31,     38,     26,     29,     31,     21,    150,    161,    13.6,    11.9,    22.3,    20.7,     9.2,     7.1,    14.3,    13.2,    14.9,    15.2,    24.2,    25.2,    10.3,    10.2,    17.0,    18.5,    21.4,    19.9,    36.4,    35.5,    20.9,    19.5,    35.0,    34.9,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-HRW - CHICAGO BOARD OF TRADE",260203,2026-02-03,001612,CBT ,00,001 ,  312784,   39819,  103101,   78739,    2687,   10894,   70707,   78484,   66091,   13369,   13734,   15425,  295044,  290416,   17740,   22368,  221453,   19449,   80049,   49027,    2250,    6468,   75121,   65910,   35005,   19225,   12542,    3770,  208065,  205994,   13388,   15459,   91331,   20370,   23052,   29936,     661,    4202,   20899,   37887,    5773,    1904,    8952,    3895,   86979,   84422,    4352,    6909,     494,   -2077,   -2390,    3375,   -1287,   -2663,    6839,    5722,   -4179,   -2686,    3407,     399,    -992,    -991,    1486,    1485,  100.0,   12.7,   33.0,   25.2,    0.9,    3.5,   22.6,   25.1,   21.1,    4.3,    4.4,    4.9,   94.3,   92.8,    5.7,    7.2,  100.0,    8.8,   36.1,   22.1,    1.0,    2.9,   33.9,   29.8,   15.8,    8.7,    5.7,    1.7,   94.0,   93.0,    6.0,    7.0,  100.0,   22.3,   25.2,   32.8,    0.7,    4.6,   22.9,   41.5,    6.3,    2.1,    9.8,    4.3,   95.2,   92.4,    4.8,    7.6,    256,     59,     62,     21,      4,     12,     36,     59,     49,     19,     31,     28,    196,    190,    248,     45,     59,     20,      5,      9,     41,     54,     37,     25,     24,     18,    164,    175,    164,     37,     45,     19,.,      6,     25,     26,     20,     10,     19,     13,    116,    108,    12.6,    13.5,    22.9,    22.2,    10.6,    10.2,    19.3,    17.3,    14.5,    15.3,    27.2,    25.5,    13.4,    13.2,    24.3,    22.1,    22.4,    24.5,    35.5,    38.5,    19.4,    23.2,    32.1,    35.1,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 ","A10","FutOnly"
"WHEAT-HRSpring - MIAX FUTURES EXCHANGE",260203,2026-02-03,001626,MGE ,00,001 ,   75296,   36661,   23918,    2797,     958,     647,    7955,   28803,    3800,    6655,     786,    6828,   65343,   65740,    9953,    9556,   67269,   30833,   20168,    2471,     988,     615,    8249,   28578,    3144,    8158,     760,    4928,   58398,   59181,    8871,    8088,    8027,    5828,    3750,     356,       0,       2,     345,     864,      17,     112,    1641,     285,    6945,    6559,    1082,    1468,    -210,     545,    2280,    -277,    -267,     -80,    -129,   -1278,     281,     387,    -107,      -8,     719,     821,    -929,   -1031,  100.0,   48.7,   31.8,    3.7,    1.3,    0.9,   10.6,   38.3,    5.0,    8.8,    1.0,    9.1,   86.8,   87.3,   13.2,   12.7,  100.0,   45.8,   30.0,    3.7,    1.5,    0.9,   12.3,   42.5,    4.7,   12.1,    1.1,    7.3,   86.8,   88.0,   13.2,   12.0,  100.0,   72.6,   46.7,    4.4,    0.0,    0.0,    4.3,   10.8,    0.2,    1.4,   20.4,    3.6,   86.5,   81.7,   13.5,   18.3,    105,     43,     33,      4,.,.,     11,     25,     10,      9,      4,      9,     79,     75,    105,     41,     33,      4,.,.,     11,     25,      9,      9,      4,      8,     76,     74,     44,     16,     18,      4,      0,.,.,.,.,.,      4,      4,     28,     28,    20.6,    24.5,    33.1,    39.7,    19.1,    21.4,    30.7,    35.0,    21.5,    25.4,    32.5,    40.7,    20.8,    23.9,    30.4,    37.9,    53.2,    60.2,    67.3,    72.9,    52.5,    58.8,    65.8,    69.6,"(CONTRACTS OF 5,000 BUSHELS)","001626","MGE ","001 ","A10","FutOnly"
"CORN - CHICAGO BOARD OF TRADE",260203,2026-02-03,002602,CBT ,00,002 , 1740882,  462208,  669476,  275040,   14856,   40359,  213807,  294420,  272904,  130974,   85059,  202932, 1598224, 1580006,  142658,  160876, 1465501,  380182,  570757,  247686,    4962,   33091,  225982,  301661,  197423,  153993,  131667,   98527, 1336884, 1338088,  128617,  127413,  275381,   82026,   98719,   32424,   14964,    2198,   59886,   64820,    3420,   69729,   46140,   11657,  261340,  241918,   14041,   33463,   33428,    8841,   13125,    5624,    1115,  -11372,     910,     -73,    2091,    2295,    6305,   23094,   31483,   34285,    1945,    -857,  100.0,   26.6,   38.5,   15.8,    0.9,    2.3,   12.3,   16.9,   15.7,    7.5,    4.9,   11.7,   91.8,   90.8,    8.2,    9.2,  100.0,   25.9,   38.9,   16.9,    0.3,    2.3,   15.4,   20.6,   13.5,   10.5,    9.0,    6.7,   91.2,   91.3,    8.8,    8.7,  100.0,   29.8,   35.8,   11.8,    5.4,    0.8,   21.7,   23.5,    1.2,   25.3,   16.8,    4.2,   94.9,   87.8,    5.1,   12.2,    774,    290,    324,     25,      6,     21,     63,     91,     88,     77,     74,     84,    572,    596,    765,    280,    308,     26,      6,     18,     67,     88,     81,     80,     72,     78,    554,    567,    466,    105,    251,     17,      8,      4,     22,     33,     13,     25,     55,     23,    195,    362,    10.8,    11.4,    18.3,    17.4,     8.6,     6.6,    14.3,    10.2,    10.6,    12.9,    17.8,    19.5,    10.0,    10.8,    16.5,    15.6,    38.6,    18.3,    48.7,    30.4,    38.5,    16.9,    48.1,    28.5,"(CONTRACTS OF 5,000 BUSHELS)","002602","CBT ","002 ","A10","FutOnly"
"OATS - CHICAGO BOARD OF TRADE",260203,2026-02-03,004603,CBT ,00,004 ,    4120,     951,    1005,       0,       0,       0,       0,    1249,      95,    1228,     141,     101,    2375,    2591,    1745,    1529,    4056,     927,    1005,       0,       0,       0,       0,    1249,      95,    1273,     141,      56,    2351,    2546,    1705,    1510,      64,      24,       0,       0,       0,       0,       0,       0,       0,       0,      45,       0,      24,      45,      40,      19,     -52,      60,     114,       0,    -119,       0,       0,    -105,      95,     -44,     -77,     -56,      55,    -148,    -107,      96,  100.0,   23.1,   24.4,    0.0,    0.0,    0.0,    0.0,   30.3,    2.3,   29.8,    3.4,    2.5,   57.6,   62.9,   42.4,   37.1,  100.0,   22.9,   24.8,    0.0,    0.0,    0.0,    0.0,   30.8,    2.3,   31.4,    3.5,    1.4,   58.0,   62.8,   42.0,   37.2,  100.0,   37.5,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   70.3,    0.0,   37.5,   70.3,   62.5,   29.7,     24,      5,      6,      0,      0,      0,      0,      5,.,      6,.,.,     12,     16,     24,      5,      6,      0,      0,      0,      0,      5,.,      6,.,.,     12,     15,.,.,      0,      0,      0,      0,      0,      0,      0,      0,.,      0,.,.,    35.1,    36.0,    49.8,    49.1,    29.5,    31.0,    42.6,    41.9,    35.6,    36.6,    50.0,    49.9,    31.1,    31.5,    43.8,    42.6,    37.5,    70.3,    37.5,    70.3,    37.5,    70.3,    37.5,    70.3,"(CONTRACTS OF 5,000 BUSHELS)","004603","CBT ","004 ","A10","FutOnly"
"SOYBEANS - CHICAGO BOARD OF TRADE",260203,2026-02-03,005602,CBT ,00,005 ,  883178,  284551,  448476,  145154,   24501,   24312,  120511,   91358,  118536,   57459,   22445,   81159,  831682,  810787,   51496,   72391,  733285,  237112,  389401,  123625,   21119,   16352,  107211,   84454,   93005,   60326,   21672,   53855,  691486,  679858,   41799,   53427,  149893,   47439,   59075,   24814,    6667,    4675,   29830,   23434,    9001,    7328,   10968,   17109,  140196,  130929,    9697,   18964,   24345,   13214,   15527,    1080,    4965,   -4493,   16048,    6689,    3180,   -5152,   -2529,    1332,   25209,   24671,    -864,    -326,  100.0,   32.2,   50.8,   16.4,    2.8,    2.8,   13.6,   10.3,   13.4,    6.5,    2.5,    9.2,   94.2,   91.8,    5.8,    8.2,  100.0,   32.3,   53.1,   16.9,    2.9,    2.2,   14.6,   11.5,   12.7,    8.2,    3.0,    7.3,   94.3,   92.7,    5.7,    7.3,  100.0,   31.6,   39.4,   16.6,    4.4,    3.1,   19.9,   15.6,    6.0,    4.9,    7.3,   11.4,   93.5,   87.3,    6.5,   12.7,    598,    153,    222,     27,     15,     25,     80,     52,     87,     77,     68,     92,    445,    482,    590,    146,    214,     25,     17,     19,     77,     57,     79,     87,     69,     77,    416,    460,    371,     67,    160,     22,     10,     11,     36,     30,     22,     31,     47,     33,    193,    281,    11.4,    13.3,    19.8,    21.6,    10.4,    12.4,    18.2,    19.1,    13.0,    15.3,    22.0,    24.1,    12.6,    14.5,    20.6,    22.2,    15.8,    14.3,    27.0,    24.5,    13.2,    12.9,    22.0,    18.1,"(CONTRACTS OF 5,000 BUSHELS)","005602","CBT ","005 ","A30","FutOnly"
"NJ SRECS - ICE FUTURES ENERGY DIV",260203,2026-02-03,0063CC,IFED,01,006 ,  116446,   54066,   49290,    6810,    2300,       0,   33400,     200,       0,   15836,   58322,    6334,  116446,  116446,       0,       0,  116446,   54066,   49290,    6810,    2300,       0,   33400,     200,       0,   15836,   58322,    6334,  116446,  116446,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     -90,      10,       0,       0,       0,       0,       0,       0,       0,       0,      10,    -100,     -90,     -90,       0,       0,  100.0,   46.4,   42.3,    5.8,    2.0,    0.0,   28.7,    0.2,    0.0,   13.6,   50.1,    5.4,  100.0,  100.0,    0.0,    0.0,  100.0,   46.4,   42.3,    5.8,    2.0,    0.0,   28.7,    0.2,    0.0,   13.6,   50.1,    5.4,  100.0,  100.0,    0.0,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     35,     12,     10,.,.,      0,.,.,      0,      5,      7,      5,     22,     23,     35,     12,     10,.,.,      0,.,.,      0,      5,      7,      5,     22,     23,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    60.6,    70.8,    82.0,    88.2,    60.6,    70.8,    81.0,    84.6,    60.6,    70.8,    82.0,    88.2,    60.6,    70.8,    81.0,    84.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 SRECs)","0063CC","IFED","006 ","N60","FutOnly"
"PJM TRI-RECs CLASS 1  - ICE FUTURES ENERGY DIV",260203,2026-02-03,0063CH,IFED,01,006 ,  264579,  178691,  170500,   11990,    7550,       0,   25730,    3112,    2978,   33664,   68913,   11526,  264579,  264579,       0,       0,  264579,  178691,  170500,   11990,    7550,       0,   25730,    3112,    2978,   33664,   68913,   11526,  264579,  264579,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    6776,    3950,    4471,       0,       0,       0,       0,     -60,       0,    3205,    2744,    -379,    6776,    6776,       0,       0,  100.0,   67.5,   64.4,    4.5,    2.9,    0.0,    9.7,    1.2,    1.1,   12.7,   26.0,    4.4,  100.0,  100.0,    0.0,    0.0,  100.0,   67.5,   64.4,    4.5,    2.9,    0.0,    9.7,    1.2,    1.1,   12.7,   26.0,    4.4,  100.0,  100.0,    0.0,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     51,     16,     16,.,.,      0,.,.,.,     11,      6,      8,     37,     32,     51,     16,     16,.,.,      0,.,.,.,     11,      6,      8,     37,     32,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    48.6,    48.2,    74.2,    74.4,    47.1,    47.5,    71.0,    73.2,    48.6,    48.2,    74.2,    74.4,    47.1,    47.5,    71.0,    73.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(100 MWh of renewable energy certificates)","0063CH","IFED","006 ","N60","FutOnly"
"CALIF LOW CARBON FSC-OPIS  - ICE FUTURES ENERGY DIV",260203,2026-02-03,0063CU,IFED,01,006 ,  106236,    9542,   89455,   28503,     979,       0,   64563,      75,    1100,    2412,   14501,     110,  106230,  106220,       6,      16,  106236,    9542,   89455,   28503,     979,       0,   64563,      75,    1100,    2412,   14501,     110,  106230,  106220,       6,      16,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      53,      51,    -631,    2041,     105,       0,   -1774,       0,     100,    -350,     476,      10,      78,      60,     -25,      -7,  100.0,    9.0,   84.2,   26.8,    0.9,    0.0,   60.8,    0.1,    1.0,    2.3,   13.6,    0.1,  100.0,  100.0,    0.0,    0.0,  100.0,    9.0,   84.2,   26.8,    0.9,    0.0,   60.8,    0.1,    1.0,    2.3,   13.6,    0.1,  100.0,  100.0,    0.0,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     53,     10,      9,      4,.,      0,     13,.,.,     11,.,.,     40,     17,     53,     10,      9,      4,.,      0,     13,.,.,     11,.,.,     40,     17,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    50.4,    90.0,    74.6,    97.0,    49.4,    89.8,    73.6,    96.6,    50.4,    90.0,    74.6,    97.0,    49.4,    89.8,    73.6,    96.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(100 LCFS Credits- each of 1 MT)","0063CU","IFED","006 ","N60","FutOnly"
"D6 RINs OPIS CURRENT YEAR - ICE FUTURES ENERGY DIV",260203,2026-02-03,0063CW,IFED,01,006 ,   17838,    5431,    9617,    1437,    1640,      42,    3576,     862,     128,    7034,    5319,      80,   17728,   17688,     110,     150,   17838,    5431,    9617,    1437,    1640,      42,    3576,     862,     128,    7034,    5319,      80,   17728,   17688,     110,     150,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1337,    -490,     665,     184,     302,       0,    1127,      53,      41,     561,     312,     -70,    1353,    1303,     -16,      34,  100.0,   30.4,   53.9,    8.1,    9.2,    0.2,   20.0,    4.8,    0.7,   39.4,   29.8,    0.4,   99.4,   99.2,    0.6,    0.8,  100.0,   30.4,   53.9,    8.1,    9.2,    0.2,   20.0,    4.8,    0.7,   39.4,   29.8,    0.4,   99.4,   99.2,    0.6,    0.8,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     62,     11,     11,.,.,.,      5,      5,.,     15,     14,.,     37,     35,     62,     11,     11,.,.,.,      5,      5,.,     15,     14,.,     37,     35,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    67.0,    56.3,    83.0,    74.7,    66.9,    56.2,    82.7,    73.9,    67.0,    56.3,    83.0,    74.7,    66.9,    56.2,    82.7,    73.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(50,000 RINs)","0063CW","IFED","006 ","N60","FutOnly"
